pair_id	major	minor	minor_percent	technical_windows	median_depth	burden_10_90_mean	burden_10_90_min	burden_10_90_max	burden_20_80_mean	burden_20_80_min	burden_20_80_max	primary_detection_rate	secondary_detection_rate	combined_detection_rate
pairB	Mi2	Mi22	50	3	91.0	6570.446947336107	6569.434717941483	6572.086276756663	6274.059857374444	6272.665754411182	6275.588084408823	1.0	1.0	1.0
pairB	Mi22	Mi2	0	3	96.0	174.5696459193836	173.1094135403301	177.3084252695152	23.95696156965114	23.53110712034884	24.260855638423504	0.0	0.0	0.0
pairB	Mi22	Mi2	5	3	96.0	258.42890538956976	256.3030951015827	261.58923303094906	22.984973883260025	22.072800107992546	23.532454995091932	0.0	0.0	0.0
pairB	Mi22	Mi2	10	3	95.0	2323.913200305175	2285.031710606918	2345.4621045601425	28.82316255961243	28.09315690830795	30.100167885966695	0.0	1.0	1.0
pairB	Mi22	Mi2	20	3	93.0	5997.121903307262	5988.293791462225	6007.00860239536	1987.384724855462	1976.7341942906223	1998.8090338286936	1.0	1.0	1.0
pairB	Mi22	Mi2	30	3	92.0	6268.392108935648	6265.095062057047	6272.556425274144	5554.253017602213	5553.305234732789	5556.059345158258	1.0	1.0	1.0
pairB	Mi22	Mi2	50	3	91.0	6452.674128768813	6451.543421877165	6453.70605183742	6147.936640834664	6142.455686243728	6151.907474727336	1.0	1.0	1.0
pairC	Mi23	Mi8	0	3	96.0	157.50811863729487	157.18860888656215	157.76508031929507	20.000018223082233	19.36087267312502	20.702889950913065	0.0	0.0	0.0
pairC	Mi23	Mi8	5	3	96.0	213.357476778918	209.5238058724558	218.5328509508192	20.57535455055184	20.31977576168967	20.70317569462509	0.0	0.0	0.0
pairC	Mi23	Mi8	10	3	96.0	1329.740402599855	1325.781211211171	1336.5091079875206	24.537257486332845	23.770504216484884	25.495792523291748	0.0	1.0	1.0
pairC	Mi23	Mi8	20	3	95.0	2994.2679702915916	2986.7765166517584	3000.184995432626	1128.0025971753248	1121.6666075575906	1137.1988637213242	1.0	1.0	1.0
pairC	Mi23	Mi8	30	3	95.0	3162.3390137796764	3154.047982479045	3167.5360247068193	2723.9416888516716	2722.1842197287133	2725.5713692502177	1.0	1.0	1.0
pairC	Mi23	Mi8	50	3	95.0	3325.5874212642116	3323.071330125882	3328.291107165873	3033.4297708778854	3023.1876788468517	3039.90823902568	1.0	1.0	1.0
pairC	Mi8	Mi23	0	3	96.0	172.4665215359013	165.2660904081223	178.18992275974642	18.465367406434073	17.911520412947333	18.834652066733756	0.0	0.0	0.0
pairC	Mi8	Mi23	5	3	96.0	215.43285892118695	210.13939184773648	218.2645310719503	17.973256089229512	17.357709712986576	18.28103940450345	0.0	0.0	0.0
pairC	Mi8	Mi23	10	3	95.0	1271.9483047595356	1266.407155994475	1282.4880822786738	21.666938515721657	20.31298618439944	22.52847405227603	0.0	1.0	1.0
pairC	Mi8	Mi23	20	3	95.0	2895.245474510862	2892.2581219416797	2900.1223281348803	1079.1458818101005	1075.5019347585458	1082.3308246378458	1.0	1.0	1.0
pairC	Mi8	Mi23	30	3	94.0	3060.9813107124887	3059.5402489482485	3063.2964926390946	2611.896272272856	2607.277810270769	2614.338044842287	1.0	1.0	1.0
pairC	Mi8	Mi23	50	3	94.0	3190.480989916772	3187.821365995402	3193.2037923867047	2923.6788894424885	2920.36276040594	2927.7500234604236	1.0	1.0	1.0
pairD	Mi25	Mi4	0	3	89.0	143.1488762060379	140.34372150981338	146.19514347043147	19.188021227870752	17.54341721645178	21.015010382328825	0.0	0.0	0.0
pairD	Mi25	Mi4	5	3	89.0	219.05659885480785	213.27600162506445	223.68748081112295	19.12784057776099	17.72686735186187	20.650052694183135	0.0	0.0	0.0
pairD	Mi25	Mi4	10	3	89.0	1400.2782430330892	1376.285276105012	1417.1093381912976	25.585840866322375	23.94136230372195	27.046902252495254	0.0	1.0	1.0
pairD	Mi25	Mi4	20	3	88.0	2930.7540189402	2924.8632014631808	2935.0035083691832	1280.1373194957232	1274.08744469161	1287.8337725725037	1.0	1.0	1.0
pairD	Mi25	Mi4	30	3	88.0	3066.6626114520154	3060.8809327187446	3076.2391463815666	2709.308592398758	2698.038493112598	2718.8526493001796	1.0	1.0	1.0
pairD	Mi25	Mi4	50	3	89.0	3176.9664743540743	3172.571891696965	3180.8847785420735	2947.7943372390696	2943.952455012435	2954.0449788732935	1.0	1.0	1.0
pairD	Mi4	Mi25	0	3	93.0	157.29849439887485	152.308848742338	163.26447127695826	13.3922930936187	12.783354465435728	13.879463434553582	0.0	0.0	0.0
pairD	Mi4	Mi25	5	3	93.0	213.73001218793297	205.45363431955948	224.0764789275886	12.661870335140492	11.140152616438336	13.696716349222438	0.0	0.0	0.0
pairD	Mi4	Mi25	10	3	92.0	1226.330273184372	1207.531842899596	1241.14365653413	19.358295572699262	18.628112561283295	19.905650867301993	0.0	1.0	1.0
pairD	Mi4	Mi25	20	3	91.0	2904.724986943425	2897.6566165503205	2916.039715997054	1000.0190882773094	982.2007616165148	1013.04392212912	1.0	1.0	1.0
pairD	Mi4	Mi25	30	3	90.0	3056.281654977304	3051.1937937264415	3060.8886731412863	2624.0529696744356	2616.9137110645283	2637.2748975113445	1.0	1.0	1.0
pairD	Mi4	Mi25	50	3	89.0	3167.4608542976207	3162.8766395915222	3174.832792504896	2930.141852258308	2927.0669590994125	2931.816409221733	1.0	1.0	1.0
